step,sim_time_s,cmd,x_m,y_m,yaw_fused,yaw_imu,left_enc,right_enc,ds,dtheta_enc
73,2.336,STOP,-4.527527242004214e-11,1.9312752146057626e-18,-3.682600671493796e-07,-3.8078096853411125e-07,-11.560902665836446,11.560903397000573,-3.819167204710542e-17,1.0664844269757727e-14
74,2.368,STOP,-4.52752342283701e-11,1.931261126228674e-18,-3.6888610352284667e-07,-3.8078098629767965e-07,-11.560902665836476,11.560903397000605,3.819167204710532e-17,1.0088366201122175e-14
75,2.4,STOP,-4.527527242004214e-11,1.9312752373197177e-18,-3.694808393358373e-07,-3.8078100050853436e-07,-11.560902665836506,11.560903397000633,-3.819167204710542e-17,9.511888132486623e-15
76,2.432,STOP,-4.52752342283701e-11,1.9312611046503736e-18,-3.7004583948314855e-07,-3.807810120548538e-07,-11.560902665836533,11.560903397000661,3.819167204710542e-17,8.93541006385107e-15
77,2.464,STOP,-4.52752342283701e-11,1.9312611046503736e-18,-3.7058259091086916e-07,-3.807810213807272e-07,-11.560902665836558,11.560903397000686,0.0,8.070692960897742e-15
78,2.496,STOP,-4.52752342283701e-11,1.9312611046503736e-18,-3.710925051446796e-07,-3.807810289302438e-07,-11.560902665836583,11.560903397000711,0.0,8.070692960897742e-15
79,2.528,STOP,-4.52752342283701e-11,1.9312611046503736e-18,-3.7157692507297026e-07,-3.8078103514749273e-07,-11.560902665836604,11.560903397000732,0.0,6.917736823626636e-15
80,2.56,STOP,-4.52752342283701e-11,1.9312611046503736e-18,-3.720371242712999e-07,-3.8078104047656325e-07,-11.560902665836625,11.560903397000754,0.0,6.917736823626636e-15
81,2.592,STOP,-4.52752342283701e-11,1.9312611046503736e-18,-3.724743148048616e-07,-3.8078104447336614e-07,-11.560902665836643,11.560903397000772,0.0,5.7647806863555285e-15
82,2.624,STOP,-4.52752342283701e-11,1.9312611046503736e-18,-3.728896459671764e-07,-3.807810475819906e-07,-11.560902665836661,11.56090339700079,0.0,5.7647806863555285e-15
83,2.656,STOP,-4.527519603669805e-11,1.9312468483022077e-18,-3.732842109784293e-07,-3.8078105024652587e-07,-11.560902665836677,11.560903397000807,3.819167204710537e-17,5.4765416520377525e-15
84,2.688,STOP,-4.52752342283701e-11,1.9312611189660424e-18,-3.736590484200005e-07,-3.807810529110611e-07,-11.560902665836693,11.560903397000821,-3.819167204710537e-17,4.900063583402199e-15
85,2.72,STOP,-4.52752342283701e-11,1.9312611189660424e-18,-3.7401514435213804e-07,-3.8078105468741796e-07,-11.560902665836707,11.560903397000835,0.0,4.611824549084424e-15
86,2.7520000000000002,STOP,-4.52752342283701e-11,1.9312611189660424e-18,-3.743534355542821e-07,-3.807810560196856e-07,-11.560902665836721,11.56090339700085,0.0,4.611824549084424e-15
87,2.7840000000000003,STOP,-4.52752342283701e-11,1.9312611189660424e-18,-3.746748133582406e-07,-3.807810573519532e-07,-11.560902665836732,11.56090339700086,0.0,3.458868411813318e-15
88,2.816,STOP,-4.527519603669805e-11,1.931246797848218e-18,-3.7498012149492887e-07,-3.8078105824013164e-07,-11.560902665836744,11.560903397000875,3.819167204710537e-17,4.3235855147666476e-15
89,2.848,STOP,-4.52752342283701e-11,1.931261130043281e-18,-3.7527016479464143e-07,-3.8078105868422085e-07,-11.560902665836757,11.560903397000885,-3.819167204710537e-17,3.747107446131094e-15
90,2.88,STOP,-4.52752342283701e-11,1.931261130043281e-18,-3.7554570681746296e-07,-3.807810600164885e-07,-11.560902665836766,11.560903397000894,0.0,2.8823903431777643e-15
91,2.912,STOP,-4.527519603669805e-11,1.9312467773275774e-18,-3.758074714875208e-07,-3.807810604605777e-07,-11.560902665836775,11.560903397000905,3.819167204710542e-17,3.170629377495541e-15
92,2.944,STOP,-4.52752342283701e-11,1.931261139540651e-18,-3.760561479462802e-07,-3.807810609046669e-07,-11.560902665836785,11.560903397000914,-3.819167204710542e-17,3.170629377495541e-15
93,2.976,STOP,-4.52752342283701e-11,1.931261139540651e-18,-3.762923914479919e-07,-3.807810617928453e-07,-11.560902665836792,11.56090339700092,0.0,2.305912274542212e-15
94,3.008,STOP,-4.52752342283701e-11,1.931261139540651e-18,-3.7651682277461793e-07,-3.807810617928453e-07,-11.5609026658368,11.560903397000928,0.0,2.305912274542212e-15
95,3.04,STOP,-4.52752342283701e-11,1.931261139540651e-18,-3.767300325571171e-07,-3.8078106223693453e-07,-11.560902665836807,11.560903397000935,0.0,2.305912274542212e-15
96,3.072,STOP,-4.52752342283701e-11,1.931261139540651e-18,-3.7693258185049135e-07,-3.8078106223693453e-07,-11.560902665836814,11.560903397000942,0.0,2.305912274542212e-15
97,3.104,STOP,-4.52752342283701e-11,1.931261139540651e-18,-3.771250036791969e-07,-3.8078106223693453e-07,-11.56090266583682,11.56090339700095,0.0,2.305912274542212e-15
98,3.136,STOP,-4.5275157845026e-11,1.9312323195087532e-18,-3.773078049863257e-07,-3.8078106268102374e-07,-11.560902665836824,11.560903397000956,7.638334409421076e-17,1.729434205906659e-15
99,3.168,STOP,-4.52752342283701e-11,1.9312611528054774e-18,-3.774814662280982e-07,-3.8078106268102374e-07,-11.560902665836831,11.56090339700096,-7.638334409421076e-17,1.729434205906659e-15
100,3.2,STOP,-4.527519603669805e-11,1.9312467298563124e-18,-3.7764644468160907e-07,-3.8078106268102374e-07,-11.560902665836835,11.560903397000965,3.8191672047105394e-17,1.4411951715888823e-15
